Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Altaria,89.5,334,dragon,flying,103.4,153.3,136,2156405,28.5,1498,Dragon Breath,Sky Attack,Moonblast,15,20,1,10000
Bastiodon,89.5,411,rock,steel,81.1,246.7,138,2761698,47.5,1498,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Registeel (Shadow),89.5,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Lanturn,89.4,171,water,electric,104.8,104.8,194,2131348,27,1496,Spark,Surf,Thunderbolt,5,7,3,50000
Noctowl,89.4,164,normal,flying,105.3,120.2,167,2113724,28,1494,Wing Attack,Sky Attack,Shadow Ball,6,7,1,10000
Quagsire,89.4,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Cresselia,89.3,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Regirock,89,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Vigoroth,88.7,288,normal,none,117.7,112.7,144,1909363,28.5,1499,Counter,Body Slam,Bulldoze,5,9,5,75000
Deoxys (Defense),88.6,386,psychic,none,101,221.5,98,2192628,23.5,1491,Counter,Psycho Boost,Thunderbolt,5,8,20,100000
Gliscor,88.4,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Night Slash,9,5,5,75000
Pidgeot,88.3,18,normal,flying,117.2,113.8,143,1905836,26,1494,Wing Attack,Feather Dance,Brave Bird,7,7,1,10000
Jellicent,88.2,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Sandslash (Alolan) (Shadow),88.1,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Regirock (Shadow),87.9,377,rock,none,103.7,180.2,115,2149641,18,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Wobbuffet,87.9,202,psychic,none,63,101.7,333,2133829,50,1160,Counter,Return,Mirror Coat,10,8,3,50000
Kommo-o,87.8,784,dragon,fighting,123.7,138.4,105,1797551,16.5,1497,Dragon Tail,Close Combat,Dragon Claw,5,4,5,75000
Azumarill,87.6,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Walrein,87.5,365,ice,water,113.1,114.3,153,1978119,20.5,1495,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Lurantis,87.4,754,grass,none,126.9,114.6,121,1760366,23.5,1495,Fury Cutter,Leaf Blade,Superpower,9,10,3,50000
Machamp,87.4,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
Ninetales (Alolan) (Shadow),87.4,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Meganium,87.3,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Poliwrath,87.2,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Ice Punch,8,6,3,50000
Diggersby,87.1,660,normal,ground,96.3,141.2,171,2324733,48,1496,Mud Shot,Fire Punch,Earthquake,5,8,1,10000
Buzzwole,87,794,bug,fighting,129.3,112.7,119,1735016,16,1498,Counter,Superpower,Lunge,6,7,20,100000
Guzzlord,87,799,dark,dragon,114.7,63.9,265,1942949,20,1493,Dragon Tail,Dragon Claw,Crunch,4,5,20,100000
Ninetales (Alolan),87,38,ice,fairy,115.1,133.6,126,1936253,24.5,1498,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,9,3,50000
Regice,87,378,ice,none,103.7,180.2,115,2149641,18,1497,Lock On,Blizzard,Earthquake,15,13,20,100000
Umbreon,87,197,dark,none,90.2,177,155,2475791,27,1497,Snarl,Foul Play,Last Resort,4,5,5,75000
Abomasnow (Shadow),86.9,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Gliscor (Shadow),86.9,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Night Slash,9,5,5,75000
Mantine,86.9,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Bubble Beam,Ice Beam,5,7,5,75000
Aurorus,86.7,699,rock,ice,114.1,105.7,163,1966639,20,1498,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Dewgong,86.7,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Drill Run,5,5,3,50000
Chesnaught,86.6,652,grass,fighting,119.9,124.6,125,1868328,19,1498,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Froslass,86.4,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Greninja,86.4,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Mandibuzz,86.4,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Foul Play,Aerial Ace,4,4,5,75000
Munchlax,86.4,446,normal,none,104,95.2,218,2158275,31,1499,Tackle,Body Slam,Bulldoze,12,20,5,10000
Skarmory,86.4,227,steel,flying,106.2,163.1,122,2113576,27,1499,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Dragonite (Shadow),86.3,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Golbat (Shadow),86.2,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Haxorus,86.2,612,dragon,none,151.1,95.7,102,1475018,15,1496,Counter,Breaking Swipe,Surf,5,6,5,75000
Toxapex,86.1,748,poison,water,92.3,222,118,2416922,38.5,1493,Poison Jab,Brine,Sludge Wave,8,10,3,50000
Passimian,85.9,766,fighting,none,129.9,100.5,132,1723475,18.5,1496,Counter,Close Combat,Brick Break,7,5,3,75000
Zweilous,85.9,634,dark,dragon,121,109.2,140,1849588,31,1496,Dragon Breath,Body Slam,Dark Pulse,12,17,5,75000
Sandslash (Alolan),85.8,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Trevenant,85.8,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Snorlax,85.7,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Togedemaru,85.7,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Meganium (Shadow),85.6,154,grass,none,111.5,138.4,130,2005358,23,1499,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Sirfetch'd,85.6,865,fighting,none,145.9,107.4,98,1536689,18.5,1499,Counter,Leaf Blade,Night Slash,5,5,3,50000
Cradily,85.5,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Cofagrigus,85.4,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Mew,85.4,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Surf,6,5,20,100000
Drapion (Shadow),85.3,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Falinks,85.2,870,fighting,none,128.2,119.8,113,1735815,23.5,1494,Counter,Superpower,Megahorn,6,8,5,75000
Lucario,85.2,448,fighting,steel,145.8,95.6,110,1532231,20.5,1494,Counter,Power-Up Punch,Shadow Ball,5,8,5,75000
Dunsparce,85,206,normal,none,104.8,111,183,2127733,37.5,1496,Rollout,Drill Run,Rock Slide,4,4,3,50000
Golbat,85,42,poison,flying,118.7,113.7,140,1888899,29,1498,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Hakamo-o,85,783,dragon,fighting,115.5,134.8,124,1931380,36.5,1493,Dragon Tail,Dragon Claw,Brick Break,4,4,5,75000
Politoed (Shadow),85,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Serperior,84.9,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,6,3,10000
Cradily (Shadow),84.8,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Slide,Grass Knot,4,4,3,50000
Tapu Fini,84.8,788,water,fairy,115.3,155.3,108,1934126,20,1498,Water Gun,Surf,Moonblast,14,20,20,100000
Sableye (Shadow),84.7,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Power Gem,6,8,5,75000
Abomasnow,84.6,460,grass,ice,117.9,111.4,143,1877258,23.5,1491,Powder Snow,Weather Ball (Ice),Energy Ball,5,7,3,50000
Dragonair (Shadow),84.6,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Body Slam,Aqua Tail,12,12,5,75000
Pachirisu,84.5,417,electric,none,91.6,157.1,142,2043738,50,1372,Volt Switch,Thunder Punch,Thunderbolt,3,4,5,75000
Jumpluff (Shadow),84.4,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Obstagoon,84.4,862,dark,normal,112.6,126.7,138,1969669,21,1494,Counter,Night Slash,Cross Chop,5,5,3,10000
Raikou (Shadow),84.4,243,electric,none,130.9,110.1,118,1700490,16,1492,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Araquanid,84.3,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Bug Buzz,Bubble Beam,20,14,3,50000
Charizard (Shadow),84.3,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Emolga,84.3,587,electric,flying,127.9,111.4,123,1752744,39,1498,Thunder Shock,Discharge,Acrobatics,5,7,1,10000
Dragonair,84.2,148,dragon,none,126,111,127,1775090,33,1497,Dragon Breath,Aqua Tail,Body Slam,12,12,5,75000
Hitmontop,84.2,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Stone Edge,7,8,5,75000
Venusaur,84.2,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Samurott,84.1,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Charizard,84,6,fire,flying,132.2,108.3,117,1674892,19,1488,Wing Attack,Blast Burn,Dragon Claw,7,5,3,10000
Jumpluff,84,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Acrobatics,Energy Ball,7,7,3,50000
Perrserker,84,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Foul Play,6,6,3,50000
Steelix,84,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Earthquake,4,8,5,75000
Stunfisk,84,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Tropius,84,357,grass,flying,101.4,127.3,170,2195741,29,1494,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Whimsicott,84,547,grass,fairy,118.4,133.1,119,1875239,27.5,1490,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Clefable,83.9,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Meteor Mash,7,6,1,10000
Ferrothorn,83.9,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Beedrill (Shadow),83.8,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,5,7,1,10000
Snorlax (Shadow),83.8,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Escavalier,83.7,589,bug,steel,133.9,116.8,107,1673454,19.5,1499,Counter,Drill Run,Megahorn,7,8,3,50000
Dragonite,83.6,149,dragon,flying,135.8,108.4,111,1633580,14.5,1495,Dragon Breath,Dragon Claw,Superpower,12,14,5,75000
Runerigus,83.6,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Sand Tomb,Shadow Ball,5,7,3,50000
Castform (Snowy),83.5,351,ice,none,113.4,119.6,146,1979669,38.5,1499,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Excadrill,83.5,530,ground,steel,142.7,78.8,139,1561805,17,1494,Mud Shot,Drill Run,Rock Slide,5,5,3,50000
Hariyama,83.5,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Primeape,83.5,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Counter,Night Slash,Close Combat,5,7,3,50000
Blastoise,83.4,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Blaziken (Shadow),83.4,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Stone Edge,6,8,3,10000
Lickilicky,83.4,463,normal,none,106.3,121.1,164,2111832,23,1498,Lick,Body Slam,Shadow Ball,12,19,3,50000
Qwilfish (Hisuian),83.4,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Jab,Aqua Tail,Shadow Ball,5,8,3,50000
Skarmory (Shadow),83.4,227,steel,flying,106.2,163.1,122,2113576,27,1499,Air Slash,Brave Bird,Sky Attack,7,5,5,75000
Venusaur (Shadow),83.4,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Victini,83.3,494,psychic,fire,120.5,119.4,129,1855163,16.5,1498,Quick Attack,V-Create,Psychic,5,7,20,100000
Galvantula,83.2,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Gligar (Shadow),83.2,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Night Slash,Dig,5,10,5,75000
Hitmonchan (Shadow),83.1,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Toxicroak,83.1,454,poison,fighting,136.6,91.5,131,1636876,22,1498,Counter,Mud Bomb,Sludge Bomb,6,8,3,50000
Marshtomp,83,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Castform (Rainy),82.9,351,water,none,113.4,119.6,146,1979669,38.5,1499,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Sneasler,82.9,903,fighting,poison,146,95.3,110,1529893,17,1495,Shadow Claw,Close Combat,X-Scissor,6,5,5,75000
Zapdos (Shadow),82.9,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunderbolt,5,7,20,100000
Machoke,82.8,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Machoke (Shadow),82.8,67,fighting,none,127.7,97.2,141,1750103,27,1498,Karate Chop,Cross Chop,Dynamic Punch,5,7,3,50000
Moltres (Shadow),82.8,146,fire,flying,136.3,102.6,117,1635633,16,1493,Wing Attack,Sky Attack,Overheat,6,7,20,100000
Electrode (Hisuian),82.7,101,electric,grass,123.3,130.1,113,1812571,26,1495,Thunder Shock,Wild Charge,Energy Ball,5,7,3,50000
Gligar,82.6,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Night Slash,Return,5,9,5,75000
Shiftry (Shadow),82.6,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Weezing (Galarian),82.6,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Play Rough,Brutal Swing,7,5,3,50000
Marshtomp (Shadow),82.5,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Moltres,82.5,146,fire,flying,136.3,102.6,117,1635633,16,1493,Wing Attack,Sky Attack,Overheat,6,7,20,100000
Sceptile (Shadow),82.5,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Hawlucha,82.3,701,fighting,flying,128.9,108.8,124,1738490,23.5,1498,Poison Jab,Flying Press,Aerial Ace,6,7,5,75000
Miltank,82.3,241,normal,none,105.4,135.5,148,2112476,24,1494,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Flygon (Shadow),82.2,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Dragon Tail,Dragon Claw,Earth Power,4,7,5,75000
Overqwil,82.2,904,dark,poison,131.6,106.6,121,1696708,19,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Zapdos,82.2,145,electric,flying,136.2,104.7,115,1639560,15.5,1495,Thunder Shock,Drill Peck,Thunder,5,7,20,100000
Forretress,82.1,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Earthquake,Mirror Shot,22,12,5,75000
Ninetales (Shadow),82,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,6,10,3,50000
Hitmontop (Shadow),81.9,237,fighting,none,121.7,151.3,100,1841514,26.5,1500,Counter,Close Combat,Stone Edge,7,8,5,75000
Zangoose,81.8,335,normal,none,144.8,87.1,122,1539050,23,1494,Shadow Claw,Close Combat,Night Slash,6,5,3,50000
Nidoqueen,81.7,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
Raikou,81.6,243,electric,none,130.9,110.1,118,1700490,16,1492,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Blaziken,81.5,257,fire,fighting,144.4,90.8,118,1547820,19,1496,Counter,Blaze Kick,Stone Edge,6,8,3,10000
Hariyama (Shadow),81.5,297,fighting,none,125.6,75.5,186,1764581,19.5,1492,Counter,Close Combat,Heavy Slam,7,8,3,50000
Politoed,81.4,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Lapras,81.3,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Nidoqueen (Shadow),81.3,31,poison,ground,117.8,116.5,139,1908186,22,1499,Poison Jab,Earth Power,Poison Fang,8,6,3,50000
Zapdos (Galarian),81.3,145,fighting,flying,135.2,106.2,115,1651425,15.5,1495,Counter,Ancient Power,Brave Bird,7,8,20,100000
Sealeo (Shadow),81.2,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Steelix (Shadow),81.2,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Dragon Tail,Psychic Fangs,Earthquake,4,8,5,75000
Sudowoodo,81.2,185,rock,none,117.2,130.1,125,1905357,26,1496,Counter,Meteor Beam,Rock Slide,9,7,5,75000
Togetic,81.2,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Ancient Power,Dazzling Gleam,5,8,3,50000
Bellossom,81.1,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Return,3,6,3,50000
Bellossom (Shadow),81.1,182,grass,none,115.7,132.9,126,1937741,24.5,1499,Bullet Seed,Leaf Blade,Dazzling Gleam,3,6,3,50000
Dragalge,81.1,691,poison,dragon,117.9,139.9,115,1895881,23.5,1496,Dragon Tail,Aqua Tail,Outrage,4,7,3,50000
Drapion,81.1,452,poison,dark,118.5,136.5,117,1892269,23,1499,Poison Sting,Crunch,Aqua Tail,5,4,5,75000
Marowak (Alolan) (Shadow),81.1,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Ninetales,81.1,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Fire Spin,Weather Ball (Fire),Overheat,4,6,3,50000
Raticate (Alolan),81.1,20,dark,normal,107.5,130.7,148,2078413,37,1496,Quick Attack,Crunch,Return,6,9,1,10000
Bayleef (Shadow),81,153,grass,none,105.6,141.6,141,2107468,49.5,1494,Razor Leaf,Grass Knot,Ancient Power,13,12,3,10000
Blastoise (Shadow),81,9,water,none,111.5,140.7,127,1992357,22.5,1492,Water Gun,Hydro Cannon,Ice Beam,14,19,3,10000
Magnezone (Shadow),81,462,electric,steel,134.9,120.1,102,1652719,17,1496,Spark,Wild Charge,Mirror Shot,6,5,3,50000
Wigglytuff,81,40,normal,fairy,115.8,75.5,220,1924765,29,1495,Charm,Ice Beam,Disarming Voice,10,8,1,10000
Empoleon,80.8,395,water,steel,125.8,115.9,122,1777988,19,1500,Waterfall,Hydro Cannon,Drill Peck,5,5,3,10000
Hitmonchan,80.8,107,fighting,none,128.2,137.3,98,1725104,23.5,1490,Counter,Ice Punch,Thunder Punch,6,6,5,75000
Lapras (Shadow),80.8,131,water,ice,104.7,114,179,2135530,21.5,1497,Ice Shard,Surf,Skull Bash,4,8,5,75000
Pangoro,80.7,675,fighting,dark,134.5,92,134,1658196,19,1496,Snarl,Close Combat,Night Slash,4,3,3,50000
Piloswine,80.7,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
Probopass,80.7,476,rock,steel,96.8,200,119,2305422,28,1497,Spark,Rock Slide,Zap Cannon,6,10,3,50000
Swellow,80.7,277,normal,flying,136.7,98.6,121,1630044,29,1496,Wing Attack,Brave Bird,Sky Attack,7,6,1,10000
Goodra,80.6,706,dragon,none,119.7,136.8,114,1866601,16,1497,Dragon Breath,Power Whip,Muddy Water,17,12,5,75000
Alomomola,80.5,594,water,none,96.7,98.8,240,2292831,26,1490,Waterfall,Psychic,Hydro Pump,7,10,5,75000
Farfetch'd (Galarian),80.4,83,fighting,none,137.9,97.8,120,1618657,36.5,1494,Fury Cutter,Leaf Blade,Brave Bird,9,14,3,50000
Shiftry,80.4,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Bewear,80.3,760,normal,fighting,130.4,85.6,154,1717970,18,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Galvantula (Shadow),80.3,596,bug,electric,139,93.8,124,1615746,25.5,1499,Volt Switch,Discharge,Lunge,3,3,3,50000
Golisopod,80.3,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Liquidation,5,6,1,10000
Moltres (Galarian),80.3,146,dark,flying,115.1,137.5,122,1930734,17.5,1493,Wing Attack,Ancient Power,Brave Bird,6,7,20,100000
Zebstrika,80.3,523,electric,none,137.7,95.5,123,1617244,23,1496,Spark,Wild Charge,Flame Charge,6,7,3,50000
Grimer (Shadow),80.2,88,poison,none,121.5,88,171,1827419,49.5,1493,Poison Jab,Mud Bomb,Sludge Bomb,6,8,3,50000
Heracross,80.2,214,bug,fighting,134.7,107.9,114,1655921,17.5,1497,Counter,Close Combat,Rock Blast,7,6,3,50000
Pinsir (Shadow),80.2,127,bug,none,141.3,111.5,101,1591266,18.5,1500,Fury Cutter,Close Combat,X-Scissor,12,9,5,75000
Sceptile,80.1,254,grass,none,136.9,108.5,110,1633945,19.5,1497,Bullet Seed,Leaf Blade,Earthquake,3,5,3,10000
Sneasel (Hisuian),80.1,215,fighting,poison,135.5,110.7,110,1649923,26.5,1499,Poison Jab,Close Combat,X-Scissor,7,5,3,50000
Dedenne,80,702,electric,fairy,124.2,108.7,133,1795844,30.5,1497,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Flygon,80,330,ground,dragon,129.2,109.6,123,1740871,21,1499,Mud Shot,Dragon Claw,Earth Power,4,7,5,75000
Luxray,80,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,6,5,5,75000
Luxray (Shadow),80,405,electric,none,138,99,118,1611912,19,1496,Spark,Wild Charge,Psychic Fangs,6,5,5,75000
Dartrix,79.9,723,grass,flying,112.3,116.8,152,1993822,34.5,1498,Leafage,Brave Bird,Seed Bomb,8,7,3,10000
Sealeo,79.9,364,ice,water,108.6,113.2,167,2053854,36.5,1497,Powder Snow,Body Slam,Aurora Beam,5,8,3,50000
Girafarig (Shadow),79.8,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Psychic,3,5,3,50000
Magneton (Shadow),79.8,82,electric,steel,144.7,112.8,95,1550755,22,1500,Thunder Shock,Magnet Bomb,Discharge,5,5,3,50000
Quilladin,79.8,651,grass,none,115.4,130,129,1935329,35.5,1495,Vine Whip,Body Slam,Energy Ball,5,7,3,10000
Piloswine (Shadow),79.6,221,ice,ground,121.1,98.2,155,1842165,24,1497,Powder Snow,Avalanche,High Horsepower,6,8,3,50000
